u,u_e,mu,p_e,delta,y
1.0,0.2,0.4,0.3,0.4,0.20897959183673467
1.0,0.2,0.4,0.3,0.5,0.2869897959183673
1.0,0.2,0.5,0.05,0.0,0.14362880886426593
1.0,0.2,0.5,0.05,0.2,0.8116343490304709
1.0,0.2,0.5,0.05,0.5,0.0014681440443213294
1.0,0.2,0.5,0.1,0.0,0.5179320987654321
1.0,0.2,0.5,0.1,0.2,0.5000308641975308
1.0,0.2,0.5,0.1,0.4,0.5050000000000001
1.0,0.2,0.5,0.1,0.5,0.5005555555555556
1.0,0.2,0.5,0.2,0.0,0.4925781249999999
1.0,0.2,0.5,0.2,0.2,0.5051562500000001
1.0,0.2,0.5,0.2,0.4,0.17015624999999998
1.0,0.2,0.5,0.2,0.5,0.5028125
1.0,0.2,0.5,0.3,0.0,0.5016326530612245
1.0,0.2,0.5,0.3,0.2,0.16576530612244897
1.0,0.2,0.5,0.3,0.4,0.343061224489796
1.0,0.2,0.5,0.3,0.5,0.11270408163265304
1.2,0.05,0.1,0.1,0.0,3.08641975308642e-05
1.2,0.05,0.1,0.2,0.0,0.50125
1.2,0.05,0.1,0.2,0.2,0.500078125
1.2,0.05,0.1,0.2,0.4,0.5762890624999999
1.2,0.05,0.1,0.3,0.0,0.3347448979591837
1.2,0.05,0.1,0.3,0.2,0.1543877551020408
1.2,0.05,0.1,0.3,0.4,0.58
1.2,0.05,0.1,0.3,0.5,0.09433673469387756
1.2,0.05,0.2,0.05,0.5,1.0
1.2,0.05,0.2,0.1,0.0,0.8755555555555556
1.2,0.05,0.2,0.1,0.4,0.9355555555555555
1.2,0.05,0.2,0.1,0.5,0.9459876543209875
1.2,0.05,0.2,0.2,0.0,0.5225781249999999
1.2,0.05,0.2,0.2,0.2,0.5253125000000001
1.2,0.05,0.2,0.2,0.4,0.5569531249999999
1.2,0.05,0.2,0.2,0.5,0.00578125
1.2,0.05,0.2,0.3,0.0,0.0
1.2,0.05,0.2,0.3,0.2,0.18367346938775508
1.2,0.05,0.2,0.3,0.4,0.18367346938775508
1.2,0.05,0.2,0.3,0.5,0.05224489795918367
1.2,0.05,0.4,0.05,0.0,0.003601108033240997
1.2,0.05,0.4,0.05,0.4,0.008448753462603877
1.2,0.05,0.4,0.1,0.0,0.5561728395061729
1.2,0.05,0.4,0.1,0.2,0.49395061728395057
1.2,0.05,0.4,0.1,0.4,0.6141358024691359
1.2,0.05,0.4,0.2,0.0,0.501953125
1.2,0.05,0.4,0.2,0.2,0.509453125
1.2,0.05,0.4,0.2,0.4,0.056562499999999995
1.2,0.05,0.4,0.2,0.5,0.49257812500000003
1.2,0.05,0.4,0.3,0.0,0.0
1.2,0.05,0.4,0.3,0.2,0.2235204081632653
1.2,0.05,0.4,0.3,0.4,0.13816326530612247
